price,street,number,city,sqft,bedrooms,baths,corner,pool,lakeshore,foreclosed,recorded
206.1,Lake Pointchatrain Dr,3615,Arlington,2746,4,3,0,0,0,0,10/3/2014
224.4,Lake Pointchatrain Dr,3614,Arlington,2356,4,3,0,0,0,0,10/3/2014
198.6,Lake Pointchatrain Dr,3611,Arlington,2268,4,3,0,0,0,0,10/3/2014
221.1,Lake Pointchatrain Dr,3610,Arlington,2532,4,3,0,0,0,0,10/3/2014
206.7,Lake Pointchatrain Dr,3609,Arlington,2503,4,2,0,0,0,0,10/3/2014
206.5,Lake Pointchatrain Dr,3608,Arlington,2609,3,2,0,0,0,0,10/3/2014
196.3,Lake Pointchatrain Dr,3607,Arlington,2321,3,2,0,0,0,0,10/3/2014
214.0,Lake Pointchatrain Dr,3606,Arlington,2736,4,2,0,0,0,0,10/3/2014
239.5,Lake Pointchatrain Dr,3604,Arlington,3611,3,3,0,0,0,0,10/3/2014
220.6,Lake Pointchatrain Dr,3603,Arlington,2650,3,2,0,0,0,0,10/3/2014
216.1,Lake Pointchatrain Dr,3602,Arlington,2548,4,3,0,0,0,0,10/3/2014
181.9,Lake Pointchatrain Dr,3601,Arlington,2563,4,3,0,0,0,1,10/3/2014
237.9,Lake Pointchatrain Dr,2601,Arlington,2573,4,3,1,0,0,0,10/3/2014
221.3,Lake Pointchatrain Dr,3600,Arlington,2727,3,2,1,0,0,0,10/3/2014
342.8,Lake Pointchatrain Dr,3516,Arlington,3277,4,4,1,1,0,0,10/3/2014
217.9,Lake Pointchatrain Dr,3517,Arlington,2629,3,2,0,0,0,0,10/3/2014
249.2,Lake Pointchatrain Dr,3512,Arlington,3058,3,2,0,0,0,0,10/3/2014
474.2,Lake Pointchatrain Dr,3515,Arlington,4808,5,5,0,0,0,0,10/3/2014
289.6,Lake Pointchatrain Dr,3508,Arlington,289.6,4,3,0,0,0,0,10/3/2014
231.9,Lake Pointchatrain Dr,3509,Arlington,2741,4,3,0,0,0,0,10/3/2014
289.6,Lake Pointchatrain Dr,3508,Arlington,3256,4,3,0,0,0,0,10/3/2014
255.6,Lake Pointchatrain Dr,3507,Arlington,2665,3,2,0,0,0,0,10/3/2014
246.6,Lake Pointchatrain Dr,2505,Arlington,3082,4,3,0,0,0,0,10/3/2014
318.3,Lake Pointchatrain Dr,3502,Arlington,3750,4,4,0,0,0,0,10/3/2014
276.3,Lake Pointchatrain Dr,3503,Arlington,3012,4,2,0,1,0,0,10/3/2014
225.3,Falcon Lake Dr,4018,Arlington,3800,4,3,1,1,0,0,10/9/2014
246.4,Falcon Lake Dr,4016,Arlington,2974,3,2,0,1,0,0,10/9/2014
227.8,Falcon Lake Dr,4015,Arlington,2716,3,2,1,0,0,0,10/9/2014
241.1,Falcon Lake Dr,4014,Arlington,2558,4,3,0,1,0,0,10/9/2014
233.1,Falcon Lake Dr,4012,Arlington,2566,4,3,0,1,0,0,10/9/2014
235.0,Falcon Lake Dr,4011,Arlington,2952,4,3,0,0,0,0,10/9/2014
222.8,Falcon Lake Dr,4010,Arlington,2541,3,2,0,0,0,0,10/9/2014
250.8,Falcon Lake Dr,4009,Arlington,3206,3,2,0,0,0,0,10/9/2014
229.4,Falcon Lake Dr,4008,Arlington,2706,4,3,0,0,0,0,10/9/2014
234.2,Falcon Lake Dr,4007,Arlington,2949,3,2,0,0,0,0,10/9/2014
218.5,Falcon Lake Dr,4006,Arlington,2507,4,2,0,0,0,0,10/9/2014
218.0,Falcon Lake Dr,4005,Arlington,2698,3,2,0,0,0,0,10/9/2014
225.0,Falcon Lake Dr,4004,Arlington,2569,3,2,0,1,0,0,10/9/2014
224.2,Falcon Lake Dr,4002,Arlington,2242,3,2,0,0,0,0,10/9/2014
223.1,Falcon Lake Dr,4000,Arlington,2690,3,2.5,0,0,0,0,10/9/2014
252.0,Falcon Lake Dr,3908,Arlington,3184,4,3,0,1,0,0,10/10/2014
223.4,Falcon Lake Dr,3904,Arlington,2623,4,2.5,0,1,0,0,10/10/2014
240.1,Falcon Lake Dr,3900,Arlington,3106,4,3,0,0,0,0,10/10/2014
225.7,Falcon Lake Dr,2710,Arlington,2728,4,3,1,1,0,,10/10/2014
246.9,Falcon Lake Dr,3707,Arlington,3211,4,3,0,1,0,0,10/10/2014
221.4,Falcon Lake Dr,3708,Arlington,2726,3,2,0,0,0,0,10/10/2014
221.0,Falcon Lake Dr,3705,Arlington,2694,3,2,0,0,0,0,10/10/2014
230.5,Falcon Lake Dr,3706,Arlington,2992,4,3,0,0,0,0,10/10/2014
221.0,Falcon Lake Dr,3705,Arlington,2694,3,2,0,0,0,0,10/10/2014
230.5,Falcon Lake Dr,3706,Arlington,2992,4,3,0,0,0,0,10/10/2014
250.8,Falcon Lake Dr,3701,Arlington,2943,3,2,1,0,0,0,10/10/2014
268.9,Falcon Lake Dr,3702,Arlington,2900,3,2,0,0,0,0,10/10/2014
209.9,Big Bear Lake Ct,3601,Arlington,3601,4,2.5,0,0,0,0,10/10/2014
204.3,Big Bear Lake Ct,3600,Arlington,2424,3,2,0,0,0,0,10/10/2014
176.0,Big Bear Lake Ct,3603,Arlington,2394,3,2,0,0,0,0,10/10/2014
191.3,Big Bear Lake Ct,3605,Arlington,2171,3,2,0,0,0,0,10/10/2014
228.1,Big Bear Lake Ct,3606,Arlington,2769,3,2,0,0,0,0,10/10/2014
201.9,Big Bear Lake Ct,3607,Arlington,2380,3,2,0,0,0,0,10/10/2014
220.0,Big Bear Lake Ct,3609,Arlington,3607,3,2,0,0,0,0,10/10/2014
232.2,Big Bear Lake Dr,3701,Arlington,2680,3,2,0,0,0,0,10/10/2014
