Magnatude	Date_Time Depth	Depth
1.2	2015/05/04 01:00:23 HST	2.4
0.8	2015/05/04 00:55:19 HST	2.4
0.5	2015/05/04 00:30:41 HST	2.1
1.2	2015/05/04 00:14:11 HST	5.9
0.9	2015/05/04 00:02:06 HST	3
0.6	2015/05/04 00:01:09 HST	2.4
0.8	2015/05/03 23:55:59 HST	9.3
0.1	2015/05/03 23:30:07 HST	1.9
1	2015/05/03 23:23:11 HST	3.2
0.6	2015/05/03 22:47:52 HST	3.5
0.9	2015/05/03 22:47:49 HST	7
0.3	2015/05/03 22:38:05 HST	2.3
0.6	2015/05/03 22:18:04 HST	3.1
0.6	2015/05/03 22:16:16 HST	0.9
0.6	2015/05/03 21:57:17 HST	2.3
0.4	2015/05/03 21:51:39 HST	3.1
0.5	2015/05/03 21:19:58 HST	3.5
0.9	2015/05/03 21:07:32 HST	2
0.8	2015/05/03 20:44:27 HST	3
0.5	2015/05/03 20:36:34 HST	1.1
1	2015/05/03 20:29:11 HST	3.3
1.4	2015/05/03 20:09:10 HST	1.9
0.8	2015/05/03 20:01:58 HST	2.4
0.7	2015/05/03 19:37:21 HST	1.6
0.8	2015/05/03 19:34:02 HST	2.6
2.2	2015/05/03 19:17:34 HST	2.5
0.6	2015/05/03 19:09:39 HST	2.4
1	2015/05/03 18:09:52 HST	5
0.3	2015/05/03 18:01:33 HST	2.4
0.1	2015/05/03 17:20:19 HST	3
2.4	2015/05/03 17:11:05 HST	2.7
0.9	2015/05/03 17:09:24 HST	2.3
0.4	2015/05/03 16:25:39 HST	2.7
0.4	2015/05/03 16:09:39 HST	2.5
0.9	2015/05/03 16:05:46 HST	1.5
0.8	2015/05/03 15:08:13 HST	2
0.9	2015/05/03 15:04:25 HST	2.5
1.9	2015/05/03 14:53:02 HST	2.5
0.6	2015/05/03 14:43:05 HST	1.4
0.7	2015/05/03 14:37:14 HST	1.7
0.6	2015/05/03 14:31:35 HST	5
0.6	2015/05/03 14:24:59 HST	3.2
0.7	2015/05/03 14:24:38 HST	6.4
0.9	2015/05/03 14:12:37 HST	2.3
1.5	2015/05/03 14:00:56 HST	3.1
0.5	2015/05/03 13:29:53 HST	1.3
2.2	2015/05/03 13:21:18 HST	2.7
0.4	2015/05/03 13:19:03 HST	4.2
1.5	2015/05/03 13:13:34 HST	3.5
1.4	2015/05/03 13:06:03 HST	3.7
0.6	2015/05/03 12:50:27 HST	2.7
