Date	Last	Open	High	Low	Vol.	Change %
Apr 15, 2014	1300.30	1326.50	1328.40	1284.40	188.99K	-2.05%
Apr 14, 2014	1327.50	1321.00	1331.40	1318.70	100.33K	0.64%
Apr 11, 2014	1319.00	1318.10	1324.20	1314.00	91.86K	-0.11%
Apr 10, 2014	1320.50	1311.90	1324.90	1311.00	126.71K	1.12%
Apr 09, 2014	1305.90	1308.50	1315.50	1301.10	125.58K	-0.24%
Apr 08, 2014	1309.10	1296.80	1314.70	1296.80	119.23K	0.83%
Apr 07, 2014	1298.30	1304.00	1304.80	1295.80	80.28K	-0.40%
Apr 04, 2014	1303.50	1286.60	1307.50	1284.40	145.50K	1.47%
Apr 03, 2014	1284.60	1290.40	1294.20	1281.90	98.67K	-0.48%
Apr 02, 2014	1290.80	1279.60	1294.90	1278.90	124.47K	0.84%
Apr 01, 2014	1280.00	1284.60	1288.40	1277.40	112.92K	-0.26%
Mar 31, 2014	1283.40	1294.30	1298.80	1282.40	4.12K	-0.80%
Mar 28, 2014	1293.80	1292.20	1299.40	1285.90	65.49K	0.00%
Mar 27, 2014	1293.80	1306.90	1307.40	1289.70	-	-0.74%
Mar 26, 2014	1303.40	1315.20	1315.20	1303.40	-	-0.61%
Mar 25, 2014	1311.40	1315.50	1315.50	1307.50	0.05K	0.02%
Mar 24, 2014	1311.20	1333.00	1333.00	1310.50	0.10K	-1.86%
Mar 21, 2014	1336.00	1339.10	1339.10	1335.00	-	0.41%
Mar 20, 2014	1330.50	1333.70	1333.70	1325.80	0.07K	-0.81%
Mar 19, 2014	1341.40	1357.10	1358.00	1332.70	0.06K	-1.30%
Mar 18, 2014	1359.00	1359.30	1361.80	1353.40	0.04K	-1.01%
Mar 17, 2014	1372.90	1386.10	1391.40	1372.20	0.03K	-0.44%
Mar 14, 2014	1379.00	1376.10	1386.60	1369.80	0.09K	0.50%
Mar 13, 2014	1372.20	1366.80	1374.50	1366.50	0.02K	0.14%
Mar 12, 2014	1370.30	1349.10	1370.50	1348.70	0.06K	1.77%
Mar 11, 2014	1346.50	1340.00	1352.40	1338.10	0.05K	0.38%
Mar 10, 2014	1341.40	1336.00	1344.70	1330.50	0.10K	0.25%
Mar 07, 2014	1338.10	1349.50	1352.70	1329.20	0.10K	-1.01%
Mar 06, 2014	1351.70	1338.00	1351.70	1333.30	0.06K	0.86%
Mar 05, 2014	1340.20	1334.80	1341.00	1334.80	0.03K	0.18%
Mar 04, 2014	1337.80	1350.40	1350.40	1332.20	0.08K	-0.91%
Mar 03, 2014	1350.10	1335.90	1354.10	1332.90	0.23K	2.17%
