Year	Month	Deviations
1941	1	0.0828
1941	2	0.3445
1941	3	0.0107
1941	4	0.2011
1941	5	0.1896
1941	6	0.2065
1941	7	0.2727
1941	8	0.2161
1941	9	-0.1492
1941	10	0.385
1941	11	-0.0628
1941	12	-0.0599
1942	1	0.448
1942	2	-0.2665
1942	3	0.0031
1942	4	-0.0121
1942	5	0.0044
1942	6	0.1699
1942	7	-0.0903
1942	8	-0.1026
1942	9	0.0963
1942	10	0.2415
1942	11	0.3428
1942	12	0.1877
1943	1	-0.3635
1943	2	0.3649
1943	3	-0.127
1943	4	0.2869
1943	5	0.2494
1943	6	-0.2615
1943	7	0.0629
1943	8	-0.0699
1943	9	0.0165
1943	10	0.4294
1943	11	0.1998
1943	12	0.6998
1944	1	0.8454
1944	2	0.4366
1944	3	0.3996
1944	4	0.0309
1944	5	0.1343
1944	6	0.2102
1944	7	0.2123
1944	8	0.1367
1944	9	0.4577
1944	10	0.387
1944	11	-0.0331
1944	12	-0.3462
1945	1	-0.1439
1945	2	-0.725
1945	3	-0.1866
1945	4	0.2181
1945	5	-0.13
1945	6	-0.0534
1945	7	-0.1329
1945	8	0.3951
1945	9	0.111
1945	10	0.2089
1945	11	-0.0091
1945	12	-0.6159
1946	1	0.369
1946	2	0.331
1946	3	-0.1161
1946	4	0.3967
1946	5	-0.029
1946	6	-0.2362
1946	7	-0.0342
1946	8	-0.0052
1946	9	-0.0245
1946	10	0.0105
1946	11	0.0945
1946	12	-0.7183
1947	1	-0.2722
1947	2	-0.0833
1947	3	0.4059
1947	4	0.2431
1947	5	0.0511
1947	6	0.0609
1947	7	-0.0866
1947	8	-0.0498
1947	9	0.0609
1947	10	0.548
1947	11	0.222
1947	12	-0.0565
1948	1	0.6597
1948	2	-0.0458
1948	3	-0.3893
1948	4	0.0109
1948	5	0.2663
1948	6	0.1112
1948	7	0.032
1948	8	0.0326
1948	9	0.0391
1948	10	0.1284
1948	11	0.0663
1948	12	-0.2275
1949	1	0.4899
1949	2	-0.4664
1949	3	-0.1509
1949	4	0.0326
1949	5	0.1227
1949	6	-0.2264
1949	7	-0.2183
1949	8	-0.013
1949	9	-0.2254
1949	10	0.014
1949	11	0.0997
1949	12	-0.457
1950	1	-0.8604
1950	2	-0.5335
1950	3	-0.1048
1950	4	-0.2927
1950	5	-0.0465
1950	6	-0.1602
1950	7	-0.3505
1950	8	-0.4327
1950	9	-0.1626
1950	10	-0.2824
1950	11	-0.9308
1950	12	-0.2274
1951	1	-0.6373
1951	2	-1.0565
1951	3	-0.3221
1951	4	-0.1102
1951	5	0.1862
1951	6	-0.0696
1951	7	0.0159
1951	8	0.0657
1951	9	0.2578
1951	10	0.1441
1951	11	-0.021
1951	12	0.562
1952	1	0.2429
1952	2	-0.0588
1952	3	-0.4292
1952	4	0.0004
1952	5	-0.0179
1952	6	0.0178
1952	7	0.0928
1952	8	0.0071
1952	9	0.1106
1952	10	-0.2698
1952	11	-0.7475
1952	12	-0.1627
1953	1	0.1896
1953	2	0.3514
1953	3	0.4028
1953	4	0.3235
1953	5	0.1693
1953	6	0.1551
1953	7	0.0165
1953	8	0.094
1953	9	0.0989
1953	10	0.1348
1953	11	-0.2848
1953	12	0.2204
1954	1	-0.7092
1954	2	-0.3069
1954	3	-0.2475
1954	4	-0.3448
1954	5	-0.3887
1954	6	-0.078
1954	7	-0.1545
1954	8	-0.0228
1954	9	0.0089
1954	10	0.0687
1954	11	0.3531
1954	12	-0.2571
1955	1	0.6054
1955	2	-0.1276
1955	3	-0.7548
1955	4	-0.4106
1955	5	-0.106
1955	6	-0.0092
1955	7	-0.2174
1955	8	0.0498
1955	9	-0.0782
1955	10	0.0234
1955	11	-0.3593
1955	12	-0.4715
1956	1	-0.4672
1956	2	-0.6891
1956	3	-0.4476
1956	4	-0.5385
1956	5	-0.42
1956	6	-0.2033
1956	7	-0.3175
1956	8	-0.4292
1956	9	-0.4847
1956	10	-0.442
1956	11	-0.429
1956	12	-0.4139
1957	1	-0.3693
1957	2	-0.3671
1957	3	-0.4577
1957	4	-0.4353
1957	5	-0.1117
1957	6	0.1971
1957	7	-0.4446
1957	8	0.2701
1957	9	0.137
1957	10	0.0224
1957	11	0.1734
1957	12	0.7266
1958	1	0.7243
1958	2	0.595
1958	3	-0.0196
1958	4	-0.1285
1958	5	0.2767
1958	6	-0.4448
1958	7	-0.0165
1958	8	-0.3188
1958	9	-0.2585
1958	10	-0.0668
1958	11	0.1329
1958	12	0.0286
1959	1	-0.027
1959	2	0.0535
1959	3	0.4855
1959	4	0.4258
1959	5	-0.0921
1959	6	0.1371
1959	7	0.0812
1959	8	-0.0785
1959	9	-0.0134
1959	10	-0.3638
1959	11	-0.5265
1959	12	-0.1921
1960	1	-0.1952
1960	2	0.4086
1960	3	-1.1111
1960	4	-0.3161
1960	5	-0.4025
1960	6	0.1648
1960	7	-0.1011
1960	8	-0.2758
1960	9	0.1402
1960	10	0.0295
1960	11	-0.4194
1960	12	0.5486
1961	1	0.1902
1961	2	0.2791
1961	3	0.1536
1961	4	0.1219
1961	5	0.0854
1961	6	0.2665
1961	7	-0.1087
1961	8	0.0173
1961	9	0.1321
1961	10	-0.4022
1961	11	-0.0344
1961	12	-0.3022
1962	1	0.2129
1962	2	0.261
1962	3	0.2078
1962	4	-0.102
1962	5	0.0611
1962	6	-0.1693
1962	7	-0.1218
1962	8	-0.0646
1962	9	-0.1904
1962	10	0.0786
1962	11	0.1775
1962	12	0.2003
1963	1	0.0487
1963	2	0.7842
1963	3	-0.1954
1963	4	-0.3091
1963	5	-0.162
1963	6	0.1853
1963	7	-0.001
1963	8	0.369
1963	9	0.434
1963	10	0.6447
1963	11	0.3288
1963	12	0.0444
1964	1	-0.0322
1964	2	-0.5037
1964	3	-0.3182
1964	4	-0.5326
1964	5	-0.1923
1964	6	0.0438
1964	7	0.0459
1964	8	-0.2931
1964	9	-0.4108
1964	10	-0.6079
1964	11	-0.1385
1964	12	-0.3839
1965	1	0.0654
1965	2	-0.4103
1965	3	-0.0873
1965	4	-0.3279
1965	5	-0.1977
1965	6	0.071
1965	7	-0.1675
1965	8	-0.0322
1965	9	-0.4072
1965	10	0.1216
1965	11	-0.2925
1965	12	0.0361
1966	1	-0.289
1966	2	-0.1376
1966	3	0.0865
1966	4	-0.2567
1966	5	-0.2185
1966	6	0.1519
1966	7	0.1548
1966	8	-0.2028
1966	9	0.1961
1966	10	-0.1961
1966	11	-0.1828
1966	12	-0.4712
1967	1	-0.1567
1967	2	-0.2936
1967	3	0.0311
1967	4	-0.0084
1967	5	0.3969
1967	6	-0.2654
1967	7	-0.1874
1967	8	-0.1201
1967	9	-0.1311
1967	10	0.2696
1967	11	0.0145
1967	12	0.1127
1968	1	-0.397
1968	2	0.0345
1968	3	0.9164
1968	4	0.0728
1968	5	-0.3707
1968	6	-0.5108
1968	7	-0.3825
1968	8	-0.3905
1968	9	-0.5395
1968	10	0.0257
1968	11	-0.2458
1968	12	-0.6168
1969	1	-1.1632
1969	2	-1.1116
1969	3	-0.1788
1969	4	0.0087
1969	5	0.0146
1969	6	-0.1536
1969	7	-0.1056
1969	8	-0.0779
1969	9	0.0258
1969	10	0.0278
1969	11	0.1924
1969	12	0.3812
1970	1	0.0319
1970	2	0.4313
1970	3	-0.0212
1970	4	0.1827
1970	5	-0.1888
1970	6	0.1345
1970	7	-0.0013
1970	8	-0.0737
1970	9	0.0514
1970	10	-0.179
1970	11	-0.1895
1970	12	-0.235
1971	1	0.1715
1971	2	-0.3137
1971	3	-0.2914
1971	4	0.0403
1971	5	-0.0023
1971	6	-0.4516
1971	7	-0.284
1971	8	-0.1595
1971	9	-0.1718
1971	10	-0.0033
1971	11	0.3463
1971	12	0.2074
1972	1	-0.942
1972	2	-0.6857
1972	3	-0.2375
1972	4	-0.087
1972	5	-0.2545
1972	6	-0.0135
1972	7	-0.1945
1972	8	0.3102
1972	9	-0.2611
1972	10	0.0616
1972	11	-0.259
1972	12	-0.0185
1973	1	0.1835
1973	2	0.4152
1973	3	0.435
1973	4	0.3108
1973	5	0.3785
1973	6	0.2157
1973	7	0.0769
1973	8	-0.2101
1973	9	0
1973	10	0.0291
