Date,Open,High,Low,Close,Volume,Adj Close,Return
10/25/1951,22.96,22.96,22.96,22.96,1360000,22.96,-0.003039514
10/26/1951,22.81,22.81,22.81,22.81,1710000,22.81,-0.006533101
10/29/1951,22.69,22.69,22.69,22.69,1780000,22.69,-0.005260851
10/30/1951,22.66,22.66,22.66,22.66,1530000,22.66,-0.001322168
10/31/1951,22.94,22.94,22.94,22.94,1490000,22.94,0.012356575
11/1/1951,23.1,23.1,23.1,23.1,1430000,23.1,0.006974717
11/2/1951,22.93,22.93,22.93,22.93,1230000,22.93,-0.007359307
11/5/1951,22.82,22.82,22.82,22.82,1130000,22.82,-0.004797209
11/7/1951,22.49,22.49,22.49,22.49,1490000,22.49,-0.014460999
11/8/1951,22.47,22.47,22.47,22.47,1410000,22.47,-0.000889284
11/9/1951,22.75,22.75,22.75,22.75,1470000,22.75,0.012461059
11/13/1951,22.79,22.79,22.79,22.79,1160000,22.79,0.001758242
11/14/1951,22.85,22.85,22.85,22.85,1220000,22.85,0.002632734
11/15/1951,22.84,22.84,22.84,22.84,1200000,22.84,-0.000437637
11/16/1951,22.82,22.82,22.82,22.82,1140000,22.82,-0.000875657
11/19/1951,22.73,22.73,22.73,22.73,1030000,22.73,-0.003943909
11/20/1951,22.68,22.68,22.68,22.68,1130000,22.68,-0.002199736
11/21/1951,22.64,22.64,22.64,22.64,1090000,22.64,-0.001763668
11/23/1951,22.4,22.4,22.4,22.4,1210000,22.4,-0.010600707
11/26/1951,22.43,22.43,22.43,22.43,1180000,22.43,0.001339286
11/27/1951,22.66,22.66,22.66,22.66,1310000,22.66,0.010254124
11/28/1951,22.61,22.61,22.61,22.61,1150000,22.61,-0.002206531
11/29/1951,22.67,22.67,22.67,22.67,1070000,22.67,0.002653693
11/30/1951,22.88,22.88,22.88,22.88,1530000,22.88,0.009263344
12/3/1951,23.01,23.01,23.01,23.01,1220000,23.01,0.005681818
12/4/1951,23.14,23.14,23.14,23.14,1280000,23.14,0.005649718
12/5/1951,23.07,23.07,23.07,23.07,1330000,23.07,-0.003025065
12/6/1951,23.34,23.34,23.34,23.34,1840000,23.34,0.011703511
12/7/1951,23.38,23.38,23.38,23.38,1990000,23.38,0.001713796
12/10/1951,23.42,23.42,23.42,23.42,1340000,23.42,0.001710864
12/11/1951,23.3,23.3,23.3,23.3,1360000,23.3,-0.005123826
12/12/1951,23.37,23.37,23.37,23.37,1280000,23.37,0.003004292
12/13/1951,23.39,23.39,23.39,23.39,1380000,23.39,0.000855798
12/14/1951,23.37,23.37,23.37,23.37,1360000,23.37,-0.000855066
12/17/1951,23.41,23.41,23.41,23.41,1220000,23.41,0.001711596
12/18/1951,23.49,23.49,23.49,23.49,1290000,23.49,0.003417343
12/19/1951,23.57,23.57,23.57,23.57,1510000,23.57,0.003405705
12/20/1951,23.57,23.57,23.57,23.57,1340000,23.57,0
12/21/1951,23.51,23.51,23.51,23.51,1250000,23.51,-0.002545609
12/24/1951,23.54,23.54,23.54,23.54,680000,23.54,0.001276053
12/26/1951,23.44,23.44,23.44,23.44,1520000,23.44,-0.004248088
12/27/1951,23.65,23.65,23.65,23.65,1460000,23.65,0.008959044
12/28/1951,23.69,23.69,23.69,23.69,1470000,23.69,0.001691332
12/31/1951,23.77,23.77,23.77,23.77,1440000,23.77,0.003376952
1/2/1952,23.8,23.8,23.8,23.8,1070000,23.8,0.001262095
1/3/1952,23.88,23.88,23.88,23.88,1220000,23.88,0.003361345
1/4/1952,23.92,23.92,23.92,23.92,1480000,23.92,0.001675042
1/7/1952,23.91,23.91,23.91,23.91,1540000,23.91,-0.00041806
1/8/1952,23.82,23.82,23.82,23.82,1390000,23.82,-0.003764115
1/9/1952,23.74,23.74,23.74,23.74,1370000,23.74,-0.003358522
1/10/1952,23.86,23.86,23.86,23.86,1520000,23.86,0.00505476
1/11/1952,23.98,23.98,23.98,23.98,1760000,23.98,0.005029338
1/14/1952,24.16,24.16,24.16,24.16,1510000,24.16,0.007506255
1/15/1952,24.06,24.06,24.06,24.06,1340000,24.06,-0.004139073
1/16/1952,24.09,24.09,24.09,24.09,1430000,24.09,0.001246883
1/17/1952,24.2,24.2,24.2,24.2,1590000,24.2,0.00456621
1/18/1952,24.25,24.25,24.25,24.25,1740000,24.25,0.002066116
1/21/1952,24.46,24.46,24.46,24.46,1730000,24.46,0.008659794
1/22/1952,24.66,24.66,24.66,24.66,1920000,24.66,0.008176615
