OBS,data,Open,High,Low,Close,Volume,return
113,3/9/2001,57.9375,58.1875,54.875,56.6875,51897200,1.9201
114,3/12/2001,54.6875,55,51.625,51.9375,57188000,3.8006
115,3/13/2001,52.1875,54.75,52,54.1875,45517800,-1.8418
116,3/14/2001,52.5,55.25,52.1875,54,45343100,0.1505
117,3/15/2001,55.3125,56.0781,53.5,53.6875,35819200,0.2521
118,3/16/2001,52.5,55.125,52.4844,54.5625,56424400,-0.7021
119,3/19/2001,54.5,55.5,53.125,54.3125,30518200,0.1994
120,3/20/2001,54.5625,56.125,52.625,52.6875,45911400,1.3192
121,3/21/2001,52.25,53.25,49.75,50.0625,62494300,2.2195
122,3/22/2001,50.5625,54.0625,50.5,54,63181600,-3.2881
123,3/23/2001,54.9375,57,54.375,56.5625,49759800,-2.0135
124,3/26/2001,57.125,57.5,55.5625,56.0625,31559300,0.3856
125,3/27/2001,56.0625,58.5625,55.875,58.25,47567800,-1.6623
126,3/28/2001,57.375,57.9375,55.375,55.5625,39340800,2.0514
127,3/29/2001,55.375,57.1875,54.5625,55.375,43492500,0.1468
128,3/30/2001,55.75,56.1875,53.875,54.6875,45600800,0.5426
129,4/2/2001,54.8125,56.9375,54.625,55.8125,37962000,-0.8843
130,4/3/2001,55.3125,55.3125,52.75,53.375,47093800,1.9394
131,4/4/2001,53.375,55,51.0625,51.9375,52023300,1.1857
132,4/5/2001,53.75,57.375,53.5,56.75,56682000,-3.8485
133,4/6/2001,56.375,57.1875,55.0625,56.1875,46311000,0.4326
134,4/9/2001,56.57,57.42,55.66,57.15,28147800,-0.7377
135,4/10/2001,57.95,60.09,57.78,59.68,54599700,-1.8813
136,4/11/2001,60.65,61.5,59.7,60.04,54939800,-0.2612
137,4/12/2001,59.56,62.31,59.35,62.18,43760000,-1.5210
138,4/16/2001,61.4,61.58,60.12,60.79,32928700,0.9819
139,4/17/2001,60.52,62.11,60.04,61.48,42574600,-0.4902
140,4/18/2001,63.39,66.31,63,65.43,78348200,-2.7043
141,4/19/2001,65.81,69,65.75,68.04,79687800,-1.6987
142,4/20/2001,70.3,71.1,68.5,69,96459800,-0.6085
143,4/23/2001,68.11,68.47,66.9,68.25,46085600,0.4746
144,4/24/2001,68.2,69.93,67.14,67.55,44588300,0.4477
145,4/25/2001,67.57,69.79,67.25,69.69,38372000,-1.3545
146,4/26/2001,70.07,71,68.25,69.13,59368800,0.3504
